business,address,business_certificate,business_id,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
Raw - A Juice Company,1727 Haight St,481737,75740,SF,null,null,405 Waller St,SF,Raw - A Juice Company LLC,CA,94117,null,94117,H74
Cole Valley Cafe,701 Cole St,458980,75942,SF.,null,null,701 Cole Street,S.F.,Michael Musleh/Isam Abu-Ali,CA,94117,14155665282,94117,H25
4505 Burgers and BBQ,705 Divisadero St,487923,76962,SF,null,null,"1839 15th St., Apt. 361",SF,4505 Grove & Divisadero LLC / Ryan Farr,CA,94103,null,94117,H25
House of Thai 2,494 Haight St,485695,77852,null,null,null,494 Haight Street,SF,S V Success Inc.,CA,94117,null,94117,H25
Cheers Market,867 Fillmore St,487078,77898,null,null,null,867 Fillmore St.,San Francisco,"Cheers Ray 867, Inc.",CA,94117,null,94117,H03
Eatwell's Farm Ice Box,1727 Haight St,478161,78539,null,null,null,"60 29th St., #346",SF,Eatwell Ice Creamery,CA,94110,null,94117,H74
Choux Bakery,248 Fillmore St,484947,78671,null,null,null,2600 Van Ness Ave. #204,SF,Choux Inc.,CA,94109,14155750722,94117,H24
Amal's Deli,1416 Haight St,489209,78793,null,null,null,1416 Haight,SF,Cedar Deli & Market Inc.,CA,94117,14155627457,94117,H07
Pop's Clubhouse,2800 24th St,484015,78947,null,null,null,502 Divisadero St.,SF,Anchors and Whales LLC,CA,94117,null,94117,H86
Street Taco,1607 Haight St,484458,79052,null,null,null,1607 Haight St.,SF,DF LA CAPITAL LLC,CA,94117,null,94117,H25
1428 Haight,1428 Haight St,1002949,79117,null,null,null,2421 Shannon Dr.,SSF,1428 Haight Inc,CA,94080,14155868484,94117,H25
Black Sands,701 Haight St,486699,79121,SF,null,null,701 Haight St.,Sf,Black Sands Supply LLC,CA,94117,14155535194,94117,H26
Urchin,584 Valencia St,489398,79570,SF,null,null,1345 Railroad Ave.,Helena,"LDHS, LLC",CA,94574,14157255612,94117,H26
Fulton Food Shop,1801 Fulton St,491007,79887,SF,null,null,1801 Fulton St.,SF,"Vivi Lu, Inc",CA,94117,14155750700,94117,H03
Nara,518 Haight St,1003233,80201,SF,null,null,1 Daniel Burnham Court #806,SF,Sunhee Nara Corporation,CA,94109,14150302422,94117,H25
Nourish Baking LLC,1560 Masonic Ave,1003252,80469,SF,null,null,1560 Masonic Avenue,SF,Tonette Polito,CA,94117,14158291249,94117,H99
AFC Sushi @ Haight Street Market,1530 Haight St,467295,80961,SF,null,null,19205 South Laurel Park Road,Rancho Dominguez,Advanced Fresh Concepts Franchise Corp.,CA,90220,14155250643,94117,H07
Burma Bear,1727 Haight St,486420,81104,SF,null,null,1908 Broadway,Alameda,Burma Bear LLC,CA,94501,14150706411,94117,H74
Repose Coffee Bar and Gallery,262 Divisadero St,1006421,81261,SF,null,null,655 Montgomery St. Ste 1440,San Francisco,Repose Coffee Bar and Gallery,CA,94111,null,94117,H24
Emanuel Coffee,488 Haight St,1005020,81328,SF,null,null,948 Visitacion Ave.,San Francisco,Irene Parada Quinteros,CA,94134,14155670782,94117,H24
Liquid Experience Inc,1589 Haight St,487471,82021,SF,null,null,2543 37th Ave.,SF,Liquid Experience Inc.,CA,94117,14155256718,94117,H03
Kung Food,1615 Mcallister St,1006709,82022,SF,null,null,4222 18th St.,SF,Kung Food Inc,CA,94114,14155686688,94117,H24
"Bistro Central Parc, Inc",560 Central Ave,1009489,82083,SF,null,null,240 Arguello Blvd.,San Francisco,"Bistro Central Parc, Inc",CA,94118,14155937272,94117,H25
Seniores Pizza,559 Divisadero St,1009613,82259,SF,null,null,105 Lake Dr.,San Bruno,Seniores Pizza 2014 Inc,CA,94066,14155405222,94117,H24
Veganburg,1466 Haight St,1010074,82373,SF,null,null,3155 Frontera Wawy #230,Burlingame,Veganburg California LLC,CA,94010,14154252889,94117,H26
Hobson's Choice Bar,1601 Haight St,1013390,83348,SF,null,null,2731 Pine St,San Francisco,"Pine & Divis, LLC",CA,94115,14155625859,94117,H86
Finnegans Wake,937 Cole St,1012548,83379,SF,null,null,1130 Shrader Street. #3,SF,Two Brothers ODH Bar Group Inc,CA,94117,14155736119,94117,H86
Volare Pizza and Restaurant,456 Haight St,1011383,83504,SF,null,null,101 Riverside Dr.,San Bruno,Volare Inc,CA,94066,14155552999,94117,H24
Horsefeather,528 Divisadero St,1013842,83515,SF,null,null,885 S. Van Ness Ave.,SF,HMS Beagle LLC,CA,94110,14155819559,94117,H25
Amitis Cafe,800 Masonic Ave,1015562,83687,null,null,null,2987 Mission St # 402,San Francisco,King Lok Tsui,CA,94110,14155562828,94117,H24
People's Cafe,1419 Haight St,1012141,83951,SF,null,null,1965 48th Ave.,SF,Yiu Kwan Wong,CA,94116,14155558842,94117,H25
Perilla,525 Haight St,1014980,83985,null,null,null,525 Haight St,San Francisco,Michael Ho,CA,94117,14155876718,94117,H25
Iza Ramen,237 Fillmore St,1010970,83994,SF,null,null,2180 Bryant St. #102,SF,Iza Ramen LLC,CA,94110,14155283306,94117,H25
Hippie Thai Street Food,1418 Haight St,1017693,84735,SF,null,null,"741 Balboa St., Apt 3",SF,Jasf Thai Inc,CA,94118,14155275380,94117,H25
Fei Tian Academy of the Arts California,1950 Page St,445586,85327,SF,null,null,1950 Page Street,SF,Institute for Arts & Culture Inc,CA,94117,14155433161,94117,H91
Ijji,252 Divisadero St,1020344,85550,SF,null,null,741 Laurel Street,San Carlos,Bick Inc,CA,94070,null,94117,H24
Good Chocolate,530 Scott St #10,483269,85564,San Francisco,null,null,530 Scott Street #10,San Francisco,George Ben Glass,CA,94117,null,94117,H99
Ritual Coffee Roasters,1300 Haight St,432169,85713,SF,null,null,1050 Howard St.,San Francisco,Ritual Coffee Roasters Inc,CA,94103,14155641024,94117,H24
Dragoneats,1671 Haight St,467902,85722,SF,null,null,1930 Sacramento St. #2,San Francisco,Vu Q. Lam,CA,94109,14155791469,94117,H24
Hot Zushi,531 Haight St,1021148,85816,SF,null,null,141 Joshiah Ave,SF,Chichang Li,CA,94112,null,94117,H25
Bulka Bakery,1727 Haight St,1021140,85852,SF,null,null,"101 McLellan Drine, Apt 2059",South San Francisco,Tatiana Kasatkina,CA,94080,null,94117,H07
Santa Clara Natural Organic Market,798 Haight St,1013868,86001,SF,null,null,133 James CT,S.SF,Santa Clara Natural Organic Market,CA,94080,14155257211,94117,H03
Ginza Japanese Restaurant,1793 Haight St,1017664,86073,SF,null,null,"535 Geary St., Apt. #506",SF,Thai Eatery LLC,CA,94102,14155740552,94117,H25
Indian Paradox,258 Divisadero St,491047,86162,SF,null,null,30 Chicory Lane,San Carlos,Indian Paradox Inc,CA,94070,null,94117,H87
El Rancho Grande at Haight,1654 Haight St,1020545,86224,SF,null,null,2401 Olympic Dr.,SSF,Food Prints Inc,CA,94080,14155721757,94117,H26
Powder,260 Divisadero St,1015259,86355,San Francisco,null,null,2860 Sacramento St,San Francisco,Modern Ice Bars Inc.,CA,94115,14155928183,94117,H28
The Lodge on Haight,400 Haight St,1020736,86972,SF,null,null,1143 Brodenck St.,SF,Forklift LLC,CA,94115,14155879582,94117,H25
Baking on Willard,1456 Willard St,1024839,87207,San Francisco,null,null,1456 Willard Street,San Francisco,Jennifer Bishop,CA,94117,null,94117,H99
The Art of Chai,29 Hemway Terr,1021866,87325,San Francisco,null,null,29 Hemway Terrace,San Francisco,Heather Bhide,CA,94117,null,94117,H99
Om Indian Cuisine,1668 Haight St,1038493,88659,null,null,null,963 Bevilacqua Street,San Lorenzo,Ajay Raj Khadka,CA,94580,14155523705,94117,H25
MIKI RESTAURANT,3639 BALBOA St,347269,240,SF,37.7757,-122.498,3639 BALBOA ST,SF,"KAWAGUCHI, AKIHIKO",CA,94121,null,94121,H24
LITTLE HENRY'S,3600 BALBOA St,337573,547,SF,37.7757,-122.498,3600 BALBOA ST.,SAN FRANCISCO,LITTLE HENRY'S,CA,94121,null,94121,H24
Gordo Taqueria #1,2252 Clement St,957319,551,SF,37.7821,-122.484,2252 CLEMENT ST,SAN FRANCISCO,GORDO TAQUERIA #1 INC,CA,94121,null,94121,H24
TSING TAO RESTAURANT,3107 CLEMENT St,384181,606,SF,37.7816,-122.493,3107 CLEMENT ST.,SAN FRANCISCO,XUE'S RESTAURANT INC.,CA,94121,null,94121,H24
"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,355247,876,SF,37.782,-122.485,2415 CLEMENT ST,SF,"PATPONG THAI CUISINE, INC.",CA,94121,null,94121,H24
BUFFALO BURGERS RESTAURANT,5317-19 Geary Blvd,341523,949,SAN FRANCISCO,37.7804,-122.476,5317 GEARY BLVD,SF,BUFFALO CORPORATION,CA,94121,null,94121,H24
ROYAL GROUND COFFEE,5301 GEARY Blvd,341523,1204,SF,37.7804,-122.476,5317 GEARY BLVD.,SF,BUFFALO CORPORATION,CA,94121,null,94121,H24
THANH THANH,2205 CLEMENT St,344677,1244,SAN FRANCISCO,37.7821,-122.483,2205  CLEMENT St,SF,"DUONG, PAT",CA,94121,null,94121,H24
GORDO TAQUERIA #6,5450 GEARY Blvd,957317,1318,SF,37.7805,-122.478,5450 GEARY BLVD,SAN FRANCISCO,"GORDO TAQUERIA #6, INC",CA,94121,null,94121,H24
GASPARE'S PIZZA HOUSE & REST.,5546 GEARY Blvd,149795,1389,SF,37.7805,-122.479,5546 GEARY BLVD.,SAN FRANCISCO,INDELICATO INC.,CA,94121,null,94121,H24
STARBUCKS,5455 GEARY Blvd,911744,1413,SF,37.7803,-122.478,5455 GEARY BLVD,SF,STARBUCKS COFFEE CO.,CA,94121,null,94121,H24
BAZAAR CAFE,5927 CALIFORNIA St,317784,1465,S.F.,37.784,-122.481,5927  CALIFORNIA St,S.F.,"WISNER, MAKIKO",CA,94121,null,94121,H24
GARDEN HOUSE CAFE,3117 CLEMENT St,311755,1791,SF,37.7816,-122.493,3117 CLEMENT,SF,"KIM, IN KYUNG",CA,94121,null,94121,H25
TAL-Y-TARA TEA & POLO SHOPPE,6439 CALIFORNIA St,121135,1810,SF,37.7838,-122.487,6439 CALIFORNIA ST,SF,"MEAKIN, HUGH; Melba; Sarah and Philip",CA,94121,null,94121,H25
SIMPLE PLEASURES CAFE,3434 BALBOA St,396004,1896,SF,37.7758,-122.496,3434 BALBOA ST,SAN FRANCISCO,SIMPLE PLEASURES CAFE INC,CA,94121,null,94121,H25
LINCOLN PARK BAR AND GRILL,300 34th Ave,345034,1926,SF,37.783,-122.496,300 34TH Ave,SF,"WONG, LANC",CA,94121,14155222014,94121,H25
AL-MASRI EGYPTIAN RESTAURANT,4031 BALBOA St,309757,1968,SF,37.7755,-122.502,4031  Balboa,SF,"MOLTHEN, SUSAN F.",CA,94121,null,94121,H25
MY FAVORITE CAFE,2110 CLEMENT St,300396,1973,SF,37.7822,-122.482,2110 CLEMENT ST,SF,CHUN-FAI YEUNG,CA,94121,null,94121,H25
GOLDEN CHARIOT BAKERY & REST,3308 BALBOA St,954202,1978,SF,37.7759,-122.494,3308 BALBOA ST,SF,"MA, WARREN",CA,94121,null,94121,H25
SAKANA BUNE RESTAURANT,5701 GEARY Blvd,385962,2280,SAN FRANCISCO,37.7802,-122.481,5701 Geary Blvd,SF,"Sakana Bune, Inc.",CA,94121,null,94121,H25
PACIFIC CAFE,7000 GEARY Blvd,84298,2282,SAN FRANCISCO,37.7797,-122.495,7000  GEARY BLVD,SAN FRANCISCO,"HAWKER, THOMAS / THOMSON ,JAMES",CA,94112,null,94121,H25
AMERICANA GRILL & FOUNTAIN,3532 BALBOA St,315912,2505,SF,37.7758,-122.497,3532 BALBOA ST,SF,"LAI, TONY",CA,94121,null,94121,H25
LA VIE VIETNAMESE REST,5830 GEARY Blvd,948933,2596,SAN FRANCISCO,37.7803,-122.482,5380 GEARY BLVD,SF,"TANG, DAISY",CA,94121,null,94121,H25
KITARO JAPANESE RESTAURANT,5723 GEARY Blvd,918926,2837,S.F.,37.7802,-122.481,5723  GEARY BLVD,SF,"SUZUKI, HIROSHI & KATAOKA, MINORU",CA,94121,null,94121,H26
GOLDEN STATE ADULT DAY HEALTH CARE,738 LA PLAYA St,770159,2957,S.F.,37.7744,-122.51,738 LA PLAYA,S.F.,GOLDEN STATE ADULT DAY HEALTH,CA,94121,null,94121,H26
TONG PALACE,933 CLEMENT St,928612,2969,SAN FRANCICSO,37.7827,-122.469,933  CLEMENT St,San Francisco,HSUEH LIAO TONG,CA,94121,null,94121,H26
HAN IL KWAN,1802 BALBOA St,398587,3165,SF,37.7766,-122.478,1802 BALBOA ST.,SAN FRANCISCO,CNJ CROSS CORP.,CA,94121,14153598244,94121,H26
MOSCOW & TBILSI BAKERY STORE,5540 GEARY Blvd,345196,3189,SF,37.7804,-122.479,5540 GEARY BLVD.,SAN FRANCISCO,MOSCOW & TBILISI BAKERY STORE INC,CA,94121,null,94121,H26
PPQ Vietnamese RESTAURANT,2332 CLEMENT St,344662,3206,SF,37.7821,-122.484,2332 CLEMENT ST,SF,"PPQ., INC.",CA,94121,null,94121,H26
TOMMYS MEXICAN RESTAURANT,5929 GEARY Blvd,367829,3229,SF,37.7801,-122.483,7328  Geary BLVD,SF,"BERMEJO, TOMAS",CA,94121,null,94121,H26
THE BEACH CHALET BREWERY & REST.,1000 GREAT HIGHWAY,944781,3485,SF,37.7703,-122.511,1000 GREAT HIGHWAY,SF,"THE BEACH CHALET, L.P.",CA,94121,null,94121,H26
TON KIANG RESTAURANT #2,5821 GEARY Blvd,931050,3591,SF,37.7801,-122.482,5821 GEARY BLVD,SF,"TON KIANG RESTAURANT, INC.",CA,94121,null,94121,H26
SAFEWAY #785,850 La Playa St,24669,3595,SF,37.7723,-122.51,850 LA PLAYA,SF,"SAFEWAY STORES, INC.",CA,94121,null,94121,H81
AZIZA RESTAURANT,5800 GEARY Blvd,345981,3888,SF,37.7803,-122.482,5800 GEARY BLVD,SF,KASBAH LLC,CA,94121,null,94121,H26
KIRIN RESTAURANT,6135 GEARY Blvd,442851,3951,S.F.,37.78,-122.485,6135 GEARY BLVD,SAN FRANCISCO,HENRY & SYLVIA INC,CA,94121,null,94121,H26
Trad'r Sam,6150 Geary Blvd,108345,4081,SF,37.7802,-122.485,6150 Geary Blvd.,SF,"Munguia, John",CA,94121,null,94121,H86
HOCKEY HAVEN,3625 BALBOA St,199160,4085,SF,37.7757,-122.498,3625 Balboa St.,SF,"FINLAY, JOSEPHINE",CA,94121,null,94121,H26
NAG'S HEAD,5346 GEARY Blvd,302958,4096,SF,37.7806,-122.477,5346 GEARY BLVD,SF,Michelle Munhee Kang,CA,94118,null,94121,H86
BALBOA BI-RITE MARKET,2449 BALBOA St,304516,4650,SF,37.7762,-122.485,2449 BALBOA ST,SF,SAETANG INC.,CA,94121,null,94121,H07
SEAKOR DELI,5957 GEARY Blvd,432429,5077,S.F.,37.7801,-122.483,5957  GEARY Blvd,S.F.,"SIKORA, JOSEPH",CA,94121,null,94121,H28
MORRILL RETIREMENT HOME,3433 ANZA St,95201,5773,SF,37.7781,-122.485,3433 Anza,SF,"PARK, BYUNG J.",CA,94121,null,94121,H38
MARTELL'S LIQUORS,5615 GEARY Blvd,137904,6752,SF,37.7802,-122.48,5615 Geary BLVD,SF,"CHUNG, CHONG KWANG",CA,94121,null,94121,H03
TIGERS LIQUORS,2400 Clement St,367144,6775,SF,37.7821,-122.485,2400 Clement ST,SF,Tamer N. Massis,CA,94121,null,94121,H03
RICHMOND MARKET,3950 BALBOA St,201844,6787,SF,37.7756,-122.501,3950 BALBOA St,S.F.,"MASSIS, JAD I",CA,94121,null,94121,H03
CARL & DAN'S CHEVRON,6000 GEARY Blvd,22971,6803,SF,37.7803,-122.484,6000 Geary Blvd.,SF,"Carl & Dan's Chevron, Inc.",CA,94121,null,94121,H03
25TH & CLEMENT PRODUCE MKT,2354 CLEMENT St,917241,6819,SF,37.7821,-122.484,2354 Clement St.,SF,"Johnson, Spiros & Odeh, Rola S",CA,94121,null,94121,H03
33 Mart,1905 Clement St,917232,7283,San Francisco,37.7822,-122.48,1905  Clement St,San Francisco,"Truong, Quy T.K.",CA,94121,null,94121,H03
EUROPA EXPRESS,746-750 LA PLAYA St,319709,7488,S.F.,37.7742,-122.51,746-750  LA PLAYA St,S.F.,"RDM EXPRESS, INC.",CA,94121,14155644917,94121,H07
BETTER FOOD MARKET,3149 BALBOA St,944591,7559,SF,37.7759,-122.492,3149 BALBOA ST,SF,"WOLDEMICAEL, YEMANE",CA,94121,null,94121,H03
El Mansour,3121 clement st,201121,9298,SF,37.7816,-122.493,5389 CERRO SUR,EL SOBRANTE,VEERAWAT TANVERAKUL & HOUDA TANVERAKUL,CA,94803,null,94121,H25
ERNESTO'S,2301 Clement St,435165,10876,SF,37.782,-122.484,619 PLYMOUTH WAY,BURLINGAME,JAMES CHARAS &  ANAST MERMEGAS,CA,94010,null,94121,H25
THE Art Bistro,6900 GEARY BLVD,387081,14568,SF,37.7797,-122.494,4210 BALBOA ST #206,SF,"SAWASDEE, MANAJAN",CA,94121,null,94121,H24
Um Ma Son,5850 GEARY BLVD,393441,17947,SF,37.7803,-122.482,5850 Geary Blvd.,SF,Fendy Setiawan Wong & Young Sook Kim,CA,94121,null,94121,H24
Kim Son Restaurant,3614 BALBOA St,360768,18102,SF,37.7757,-122.498,1685 Via Lacqua,San Lorenza,Sen Thi Trinh,CA,94580,14155815413,94121,H25
Rumble Fish,200 23rd Ave,395439,18443,SF,37.7838,-122.483,200 23rd Ave.,SF,Taro Miyoshi,CA,94121,null,94121,H25
Subway Sandwiches,5650 Geary Blvd,348163,19002,SF,37.7804,-122.48,PO BOX 640900,SF,"PRACHIMA, INC.",CA,94164,null,94121,H24
Tee Off Bar & Grill,3129 CLEMENT St,397522,24457,SF,37.7816,-122.493,3129 Clement St.,SF,"Paul Groarke, Krystal Gilmer & Jeff Gilmer",CA,94121,null,94121,H26
Shanghai House,3641 BALBOA ST,402903,27949,SF,37.7757,-122.498,3641 BALBOA ST.,SAN FRANCISCO,SHANGHAI HOUSE,CA,94121,null,94121,H24
Seal Rock Inn Restaurant,545 Point Lobos Ave,431662,32556,SF,37.7799,-122.509,545 Point Lobos Ave.,SF,Andreas E. Psarras,CA,94121,null,94121,H24
Hunan Cafe #2,4450 CABRILLO St,404113,32698,SF,37.7734,-122.507,1639 22nd Ave.,SF,Lily Hom,CA,94122,null,94121,H24
Little Tokyo,5733 GEARY Blvd,414052,33568,S.F.,37.7802,-122.481,3588 Pimlico Dr.,Pleasanton,Jeom Rye Lee,CA,94588,null,94121,H26
Oceanview Market and Deli,7501 GEARY Blvd,352762,34046,SF,37.7794,-122.5,2639 Balboa St.,SF,Sasitan Inc.,CA,94121,null,94121,H07
Hollywood Food Center,6146 Geary Blvd,420284,34787,SF,37.7801,-122.486,6146 Geary Blvd,San Francisco,"Agnes Enterprises, INC",CA,94121,null,94121,H28
Hard Knox Cafe,2448 Clement St,422876,35805,SF,37.782,-122.486,2526 3rd Street,San Francisco,HKC LLC,CA,94107,null,94121,H25
Pagan Restaurant,3199 CLEMENT St,421458,36571,S.F.,37.7816,-122.493,3199 Clement,SF,Pagan Restaurant LLC,CA,94121,null,94121,H25
100% Dessert Cafe,2512 Clement St,336727,37633,San Francisco,37.782,-122.486,76 Exeter St.,SF,Oi Wah Lu,CA,94124,null,94121,H24
First Cake,5901 GEARY Blvd,428908,37882,SF,37.7801,-122.483,1923 Pacheco St.,SF,Lizhong Lin,CA,94116,null,94121,H88
6001 California Market,6001 California St,429733,38072,SF,37.784,-122.482,2920 24th Ave.,SF,"Evergrow Investments Inc., Shelly Wienke, Pres., Darryl Wienke, VP",CA,94132,null,94121,H28
New California Food Market,5701 California St,438286,38961,San Francisco,37.7841,-122.479,2159 Willow Pass Rd,Pittsburg,"Naser Adeeb Aljalamdeh, Mona Habash",CA,94565,null,94121,H03
Balboa Teriyaki,3536 BALBOA St,433405,39608,SF,37.7758,-122.497,280 Miramar Ave.,SF,"Hana John, Inc.",CA,94112,null,94121,H24
Volcano Kitchen,5454 GEARY Blvd,433943,39695,SF,37.7805,-122.478,"1334 Castro St., #1",SF,Wakaba Inc.,CA,94114,null,94121,H25
Pizzetta 211,211 23rd Ave,434581,40217,S.F.,37.7838,-122.483,211 23rd Avenue,SF,"Pizzetta Restaurants, Inc.",CA,94121,null,94121,H24
Cafe Enchante,6157 GEARY Blvd,434463,57628,SF,37.78,-122.485,6157 Geary Blvd.,SF,"Lay & Thong, LLC",CA,94121,null,94121,H25
Events Management @ Legion of Honor,100 34th Ave,164162,57755,SF,37.7857,-122.5,350 Florida Street,SF,"Events Management, Inc.",CA,94110,null,94121,H26
Golden Gate Dim Sum Seafood,1829 Clement St,432716,59289,SF,37.7822,-122.479,1829 Clement St.,SF,Golden Gate Dim Sum Inc.,CA,94121,null,94121,H26
Sugarcane SF,6903 Geary Blvd,438131,59520,SF,37.7797,-122.494,579 28th Ave.,SF,Philip Siu Shu Chin,CA,94121,null,94121,H24
Liberty Market,5851 GEARY Blvd,441288,60782,SF,37.7801,-122.482,5851 Geary Blvd.,SF,"Liberty Market, Inc.",CA,94121,null,94121,H07
Donairo's Pizza,6905 Geary Blvd,444520,61641,SF,37.7797,-122.494,6905 GEARY BLVD.,SAN FRANCICSO,DONAIRO'S PIZZA LLC,CA,94121,null,94121,H24
Emma's Coffeehouse,5549 GEARY Blvd,388932,61728,SF,37.7803,-122.479,499 33rd Ave #102,SF,Elena Lazareva,CA,94121,null,94121,H24
John Campbell's Irish Bakery,5625 GEARY Blvd,424572,62072,S.F.,37.7802,-122.48,12 Putnam,SF,John Campbell,CA,94121,null,94121,H88
California 76,301 25th Ave,445239,62360,S.F.,37.7838,-122.485,301 25th Ave.,SF,Muath Zghaul,CA,94121,null,94121,H03
Great India Restaurant,6127 GEARY Blvd,442156,62765,SF,37.78,-122.485,6127 Geary,SF,Great India Restaurant Inc.,CA,94121,null,94121,H26
CVS Pharmacy #4675,377 32nd Ave,455171,64307,SF,null,null,One CVS Drive,Woonsocket,Garfield Beach CVS LLC,RI,02895,null,94121,H05
Shanghai Dumpling King,3319 BALBOA St,454344,64466,SF,37.7758,-122.494,3319 Balboa,SF,Liang Qiang Restaurant Inc.,CA,94121,null,94121,H25
Layaly,2435 Clement St,430289,65337,San Francisco,null,null,2435 Clement St.,SF,Layaly Grill Inc.,CA,94121,null,94121,H25
Blarney Stone,5625 GEARY Blvd,444190,65692,S.F.,37.7802,-122.48,5625 Geary Bld.,SF,415 Roots LLC,CA,94116,null,94121,H25
Turtle Tower Restaurant,5716 GEARY BLVD,459412,66418,SF,37.7803,-122.481,5716 Geary Blvd.,SF,"CJQuan, LLC",CA,94121,null,94121,H25
Akiba,3141 Clement St,465215,66972,SF,37.7816,-122.493,3141 Clement St.,SF,Akiba Corp.,CA,94121,null,94121,H24
Bai Som Thai Kitchen,2121 CLEMENT St,463511,66990,SF,37.7821,-122.482,2431 43rd Ave.,SF,Sakol Vichitkunaporn,CA,94116,null,94121,H25
Jang Soo BBQ,6314 Geary Blvd,436025,67043,SF,37.7801,-122.487,"1425 Fillmore St., #306",SF,Hyojoo Lee,CA,94115,null,94121,H25
Katherine Delmar Burke School,7070 California St,480789,67093,null,37.7836,-122.493,7070 California St.,SF,Katherine Delmar Burke School,CA,94121,null,94121,H91
Balboa Liquor & Deli Inc.,3524 BALBOA St,470775,67625,SF,37.7758,-122.497,3524 Balboa St.,San Francisco,Balboa Liquor & Deli Inc.,CA,94121,null,94121,H03
Happy Yogurt,503 33rd Ave,465222,68196,SF,37.7796,-122.493,2512 Humboldt Ave,Oakland,Xue Ling Zhao,CA,94601,null,94121,H24
Balboa Theater,3630 BALBOA St,465300,68259,SF,37.7758,-122.498,3630 Balboa Street,San Francisco,"CINEMASF, LLC",Ca,94121,14155759366,94121,H24
Empero Taste,4052 BALBOA St,465993,68403,SF,37.7755,-122.502,452A Santa Clara Av,Alameda,Pineapple LLC,CA,94501,null,94121,H26
"Purple Kow, Kams",3624 BALBOA St,449960,68412,SF,37.7758,-122.498,3624 Balboa,SF,Sakatara LLC.,CA,94121,null,94121,H26
Cassava Bakery & Cafe,3519 Balboa St,465439,68493,SF,37.7757,-122.496,"2659 Lombard, #204",SF,"Toliao Ioroi Holdings, LLC",CA,94123,null,94121,H24
The Sweet House,3512 BALBOA St,467182,68716,S.F.,37.7758,-122.496,2714 Clement Street,San Francisco,Kelly Guo and Tay Hai Tran,Ca,94121,14155871388,94121,H24
Swamp,5423 GEARY Blvd,467236,68718,S.F.,null,null,1667 9th Avenue,San Francisco,"Perilla, Inc",Ca,94122,14155253781,94121,H25
Joe's Ice Cream,5420 Geary Blvd,467766,68784,SF,37.7805,-122.478,265 Fairway Dr.,Novato,"Joe's Ice Cream, LLC",CA,94949,null,94121,H25
Ilana Cafe,2314 Clement St,469006,69207,S.F.,37.7821,-122.484,2314 Clement St.,SF,"Ilana Coffee, Inc.",CA,94121,null,94121,H24
Golden Gate Park Golf Course,970 47th Ave,484289,69664,SF,null,null,P.O. Box 22233,San Francisco,Golden Gate Park & Golf Development Foundation,CA,94122,14155758987,94121,H24
Daigo Sushi,2450 Clement St,472021,69957,SF,null,null,2507 38th Ave.,SF,Minamoto LLC,CA,94116,null,94121,H24
Shai Lai Seafood Restaurant,6253 GEARY Blvd,472860,70281,SAN FRANCISCO,null,null,1547 29th Ave,SF,"KH & Z, Inc.",CA,94122,14155617349,94121,H26
"Honey B, Inc.",2201 CLEMENT St,473898,70778,S.F.,null,null,2201 Clement St.,SF,"Honey-B, Inc.",CA,94121,null,94121,H24
Cigarette Depot,2254 Clement St,356372,70971,SF,37.7821,-122.483,2017 Constitution Ct,San Leandro,Abeba Woldetensae,CA,94579,null,94121,H03
Hong Kong Lounge,5322 Geary Blvd,473851,70996,SF,37.7805,-122.477,5322 Geary Blvd.,SF,New Hong Kong Lounge Inc.,CA,94121,null,94121,H26
SF Desserts LLC,6050 Geary Blvd,475817,71301,SF,null,null,"6050 Geary Blvd., #101A",SF,Christy Tran,CA,94121,null,94121,H24
Golden River Restaurant,5827 GEARY Blvd,475604,71373,SF,37.7801,-122.482,5827 Geary Blvd.,San Francisco,Golden River Restaurant,CA,94121,14155665105,94121,H26
Golden Catering,835 Jamestown Ave,475652,71422,null,null,null,"30166 Industrial Parkway, SW, #333",Hayard,Jimmy Le,CA,94544,null,94121,H79
Xpresso Tea,6901 Geary Blvd,475956,71532,SF,37.7797,-122.494,1167 Pine St. Apt7,SF,Rong Rui Chen,CA,94109,14155277367,94121,H24
Beluga Restaurant,5323 Geary Blvd,484006,71640,null,null,null,5323 Geary Blvd.,San Francisco,"Beluga Holdings, Inc",CA,94121,14155517718,94121,H25
InfiniTea,5351 GEARY Blvd,487814,71726,SF,null,null,2137 Otis Drive #109,Alameda,Joyce Cho,CA,94501,14155751744,94121,H24
Japonica,5501 California St,472243,72002,null,null,null,5501-5503 Califonria St.,SF,Japonica LLC,CA,94121,null,94121,H24
Na Ya Desert House,5338 Geary Blvd,477581,72016,null,null,null,"501 33rd Ave., Apt. 101",SF,Teerawuth Manchunakorn,CA,94121,null,94121,H24
Khan Toke Thai House,5937 Geary Blvd,477841,73889,San Francisco,null,null,5939 Geary Blvd.,San Francisco,"Phai Ratwetchaphan, LLC.",CA,94121,14155666654,94121,H26
Chino's Taqueria Inc,3416 balboa St,467625,75063,SF,null,null,3416 Balboa St.,San Francisco,Chino's Taqueria Inc,CA,94121,14155669956,94121,H25
Hakka Restaurant,4401 A Cabrillo St Suite A,480553,75139,SF,null,null,4401 A Cabrillo St,San Francisco,Hakka Restaurant,CA,94121,14155876898,94121,H25
Yoi,2311 Clement St,482468,75636,SF,null,null,2311 Clement Street,SF,"Tab On, Inc.",CA,94121,null,94121,H25
